keyword,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,cluster_label
두려움,0.137,2021,0.916,손한묵,0.294,177480,0.301,0,7g4Esi3OLw8w19Tn4NvmZc,0.879,0,0.125,-7.198,1,Falling,9,2021-07-29,0.0326,58.234,11
두려움,0.246,2018,0.122,"Jang Je Heon, Bily Acoustie",0.223,308227,0.685,0,0rv8RMvQwJXKAfeldTEVES,0.16,4,0.0856,-6.204,1,Time Is Faster Than Walking,0,2018-12-01,0.038,97.453,2
두려움,0.22,2011,0.979,LEE JI YONG,0.328,102273,0.211,0,0DwvTLUo1xSq6CN2VVHucF,0.932,2,0.104,-14.224,0,Flower's water,27,2011-08-10,0.0353,77.458,11
두려움,0.0803,2019,0.852,Yun Yu Jin,0.274,151400,0.126,0,664LXoV6DmoG4HqLYF301U,0.958,3,0.125,-13.156,0,BEHIND STORY,10,2019-09-25,0.0397,115.507,11
두려움,0.0385,2019,0.934,HEIZE,0.539,226465,0.14,0,4kzukmEpvEk0d45hXd2k0t,0.886,9,0.0985,-15.024,1,내 맘을 볼수 있나요 - Instrumental,32,2019-07-28,0.0369,135.885,11
두려움,0.196,2021,0.944,PARK MIN JI,0.548,156827,0.304,0,27bhjlchJJcMPouHdGTN8b,0.862,0,0.176,-10.174,0,King’s Love Waltz,29,2021-11-30,0.0316,115.889,11
두려움,0.118,2022,0.991,Jeong Se-rin,0.578,186773,0.0703,0,755r6FCjPWiypC8gbpDcA1,0.937,5,0.0757,-18.194,1,사랑하는 너,20,2022-06-11,0.0473,66.002,11
두려움,0.134,2012,0.916,"GAEMI, Lee Geon Yeong",0.277,186566,0.275,0,3n7NuweIqtBXNNBGm9gijM,0.615,7,0.171,-10.702,0,내가 니 앞에 있는데,9,2012-08-29,0.0335,84.249,11
두려움,0.0812,2013,0.882,Oh Joon Sung,0.376,110759,0.131,0,74syu3RVIImPhwFg5pdMko,0.707,0,0.202,-13.568,1,Empty Garden,15,2013-08-28,0.034,72.015,11
두려움,0.0819,2018,0.971,"Park Se Jun, Kim Min Ji",0.196,282707,0.0974,0,120qc3MDjsxJejcM0s80rj,0.913,3,0.0846,-12.011,1,Sakura,20,2018-09-28,0.0393,56.348,11
두려움,0.267,2013,0.981,이임우,0.822,165852,0.103,0,6GW6RQsVi6vRo4vqfFr4Ar,0.95,2,0.106,-22.236,0,외로움,10,2013-01-16,0.105,114.992,11
